Date,DFSCX,DFSVX,SP500,Risk-free
19820129,-0.0196,,-0.017544,0.007306
19820226,-0.029575,,-0.060548,0.009176
19820331,-0.008601,,-0.010167,0.011077
19820430,0.038346,,0.040014,0.01129
19820528,-0.024758,,-0.039162,0.009592
19820630,-0.015866,,-0.02029,0.01071
19820730,-0.001505,,-0.022991,0.01021
19820831,0.069752,,0.115977,0.008342
19820930,0.032703,,0.007614,0.005118
19821029,0.130469,,0.110364,0.005475
19821130,0.077918,,0.036123,0.007201
19821231,0.01288,,0.015158,0.006289
19830131,0.063217,,0.033134,0.006864
19830228,0.071305,,0.018995,0.006186
19830331,0.052422,,0.033095,0.006326
19830429,0.076678,,0.074922,0.006918
19830531,0.086967,,-0.012346,0.007584
19830630,0.034834,,0.035224,0.006661
19830729,-0.008841,,-0.033014,0.006917
19830831,-0.019668,,0.011319,0.008342
19830930,0.013337,,0.010158,0.007607
19831031,-0.056773,,-0.015174,0.007433
19831130,0.046828,,0.017426,0.007199
19831230,-0.010369,,-0.008834,0.007039
19840131,-0.000837,,-0.009216,0.008083
19840229,-0.064516,,-0.038859,0.007328
19840330,0.017401,,0.013498,0.00728
19840430,-0.008489,,0.005466,0.00813
19840531,-0.052131,,-0.059356,0.007898
19840629,0.029841,,0.017469,0.007534
19840731,-0.04236,,-0.016451,0.008755
19840831,0.099796,,0.106332,0.007963
19840928,0.003269,,-0.00348,0.008293
19841031,-0.021704,,-0.00006,0.009766
19841130,-0.033625,,-0.015112,0.007334
19841231,0.015022,,0.022374,0.006923
19850131,0.105859,,0.074085,0.006474
19850228,0.02722,,0.008685,0.006033
19850329,-0.021364,,-0.002925,0.00616
19850430,-0.017429,,-0.004594,0.007565
19850531,0.027619,,0.054051,0.006062
19850628,0.010631,,0.012134,0.005546
19850731,0.026003,,-0.004848,0.006196
19850830,-0.0072,,-0.011995,0.005792
19850930,-0.054421,,-0.034724,0.006049
19851031,0.026077,,0.042509,0.006021
19851129,0.06201,,0.065062,0.006156
19851231,0.046985,,0.045061,0.006139
19860131,0.01115,,0.002367,0.004865
19860228,0.071872,,0.071489,0.005296
19860331,0.047731,,0.052794,0.005963
19860430,0.00638,,-0.014148,0.005341
19860530,0.035957,,0.050229,0.004934
19860630,0.002582,,0.01411,0.005246
19860731,-0.071003,,-0.058683,0.005011
19860829,0.021815,,0.071193,0.004614
19860930,-0.05586,,-0.085439,0.004783
19861031,0.034584,,0.054729,0.004209
19861128,-0.003079,,0.021477,0.003924
19861231,-0.026192,,-0.028288,0.004767
19870130,0.094253,,0.131767,0.004151
19870227,0.080882,,0.036924,0.004309
19870331,0.023324,,0.02639,0.005012
19870430,-0.031339,,-0.01145,0.004285
19870529,-0.003922,,0.006034,0.00376
19870630,0.026575,,0.047915,0.005031
19870731,0.036433,,0.048224,0.004058
19870831,0.028705,,0.034959,0.004744
19870930,-0.008094,,-0.024166,0.00482
19871030,-0.291931,,-0.21763,0.00604
19871130,-0.039693,,-0.085349,0.003366
19871231,0.052,,0.072861,0.002988
19880129,0.055556,,0.040432,0.002762
19880229,0.076023,,0.041817,0.004564
19880331,0.040761,,-0.033343,0.004402
19880429,0.020888,,0.009425,0.004577
19880531,-0.017903,,0.003176,0.005051
19880630,0.061198,,0.043256,0.004832
19880729,-0.002454,,-0.005411,0.00506
19880831,-0.0246,,-0.0386,0.005957
19880930,0.022699,,0.039729,0.006145
19881031,-0.01233,,0.025964,0.006074
19881130,-0.043695,,-0.018891,0.005742
19881230,0.039128,,0.014688,0.006306
19890131,0.040404,,0.071115,0.005766
19890228,0.008322,,-0.028944,0.00611
19890331,0.035763,,0.020806,0.006213
19890428,0.027888,,0.05009,0.00681
19890531,0.036176,,0.035138,0.008006
19890630,-0.01995,,-0.007925,0.007147
19890731,0.040712,,0.08837,0.00704
19890831,0.012225,,0.015517,0.006684
19890929,0,,-0.006544,0.006387
19891031,-0.060386,,-0.025175,0.00682
19891130,-0.005141,,0.016541,0.00634
19891229,-0.013439,,0.021417,0.005941
19900131,-0.076369,,-0.068817,0.005852
19900228,0.018721,,0.008539,0.005818
19900330,0.036753,,0.024255,0.00638
19900430,-0.026588,,-0.026887,0.006829
19900531,0.056146,,0.091989,0.006404
19900629,0.014368,,-0.008886,0.005898
19900731,-0.038244,,-0.005223,0.006704
19900831,-0.129602,,-0.094314,0.006154
19900928,-0.08291,,-0.051184,0.005984
19901031,-0.057196,,-0.006698,0.006559
19901130,0.04501,,0.059934,0.005651
19901231,0.019375,,0.024828,0.005989
19910131,0.084052,,0.041518,0.004637
19910228,0.111332,,0.067281,0.004767
19910328,0.067979,,0.022203,0.004391
19910430,0.00335,,0.000346,0.005335
19910531,0.033389,,0.038577,0.004461
19910628,-0.048465,,-0.047893,0.004171
19910731,0.040747,,0.044859,0.00484
19910830,0.026101,,0.019649,0.00461
19910930,0.00318,,-0.019144,0.004558
19911031,0.031696,,0.01186,0.004246
19911129,-0.02765,,-0.043928,0.003915
19911231,0.059926,,0.111588,0.003792
19920131,0.112805,,-0.0199,0.003059
19920228,0.045205,,0.009565,0.002828
19920331,-0.024902,,-0.021832,0.003376
19920430,-0.040323,,0.027893,0.003303
19920529,-0.001401,,0.000964,0.002758
19920630,-0.049088,,-0.017359,0.003201
19920731,0.035398,,0.039374,0.002892
19920831,-0.021368,,-0.023998,0.002605
19920930,0.0131,,0.009106,0.002573
19921030,0.022989,,0.002106,0.002286
19921130,0.088483,,0.030262,0.002346
19921231,0.044116,,0.010108,0.00227
19930129,0.054348,,0.007046,0.002335
